,파일명,한국어
480,KETI_SL_0000008463.MOV,남편이 높은데서 떨어져서 머리에서 피나요
481,KETI_SL_0000000160.MOV,남편
482,KETI_SL_0000000159.MOV,남자친구
483,KETI_SL_0000000158.MOV,끓는물
484,KETI_SL_0000000157.MOV,깔리다
485,KETI_SL_0000000156.MOV,기절하다
486,KETI_SL_0000000155.MOV,기절
487,KETI_SL_0000008417.MOV,급류에 친구가 휩쓸렸어요
488,KETI_SL_0000000154.MOV,급류
489,KETI_SL_0000000153.MOV,금천구
490,KETI_SL_0000000152.MOV,금요일
491,KETI_SL_0000000151.MOV,금가다
492,KETI_SL_0000008390.MOV,근처에서 폭탄이 터졌어요
493,KETI_SL_0000008402.MOV,근처에 있는 건물이 붕괴되고 있어요
494,KETI_SL_0000000150.MOV,귀
495,KETI_SL_0000000149.MOV,구해주세요
496,KETI_SL_0000000148.MOV,구청
497,KETI_SL_0000000147.MOV,구로구
498,KETI_SL_0000000146.MOV,구급차
499,KETI_SL_0000000145.MOV,구급대원
500,KETI_SL_0000000144.MOV,구급대
501,KETI_SL_0000000143.MOV,교통사고
502,KETI_SL_0000000142.MOV,광진구
503,KETI_SL_0000008412.MOV,광견병에 걸린 개에게 물렸어요
504,KETI_SL_0000000141.MOV,관악구
505,KETI_SL_0000000140.MOV,공장
506,KETI_SL_0000000138.MOV,공원
507,KETI_SL_0000000137.MOV,공사장
508,KETI_SL_0000000136.MOV,곰
509,KETI_SL_0000000134.MOV,골절
510,KETI_SL_0000000132.MOV,고장
511,KETI_SL_0000000131.MOV,고열
512,KETI_SL_0000000130.MOV,고압전선
513,KETI_SL_0000008432.MOV,고압선이 끊어져 있어요
514,KETI_SL_0000008395.MOV,고속도로에서 자동차가 갑자기 멈췄어요
515,KETI_SL_0000000129.MOV,고속도로
516,KETI_SL_0000000128.MOV,계단
517,KETI_SL_0000000127.MOV,계곡
518,KETI_SL_0000000126.MOV,경찰차
519,KETI_SL_0000000125.MOV,경찰
520,KETI_SL_0000000124.MOV,경운기
521,KETI_SL_0000000123.MOV,결박
522,KETI_SL_0000000122.MOV,걸렸다
523,KETI_SL_0000000121.MOV,거실
524,KETI_SL_0000000120.MOV,개
525,KETI_SL_0000000119.MOV,강풍
526,KETI_SL_0000008393.MOV,강아지가 뼈를 삼켰어요
527,KETI_SL_0000000118.MOV,강서구
528,KETI_SL_0000000117.MOV,강북구
529,KETI_SL_0000000116.MOV,강동구
530,KETI_SL_0000008446.MOV,강도가 들어온것 같아요
531,KETI_SL_0000000115.MOV,강남구
532,KETI_SL_0000000114.MOV,강
533,KETI_SL_0000008444.MOV,감전 사고가 났어요
534,KETI_SL_0000000113.MOV,감전
535,KETI_SL_0000000112.MOV,감금
536,KETI_SL_0000000111.MOV,갇히다
537,KETI_SL_0000000110.MOV,각목
538,KETI_SL_0000000109.MOV,가시
539,KETI_SL_0000000108.MOV,가슴
540,KETI_SL_0000008443.MOV,가스가 새고 있어요
541,KETI_SL_0000008430.MOV,가스가 새고 있는 것 같아요
542,KETI_SL_0000000107.MOV,가스
543,KETI_SL_0000000106.MOV,가렵다
544,KETI_SL_0000008469.MOV,119 구조대를 불러주세요
545,KETI_SL_0000008473.MOV,112에 신고해주세요
546,KETI_SL_0000008426.MOV,(신체부위)가 절단됐어요
547,KETI_SL_0000008392.MOV,(사람)이 갑자기 쓰러졌어요
548,KETI_SL_0000000105.MOV,10000
549,KETI_SL_0000000104.MOV,1000
550,KETI_SL_0000000103.MOV,119
551,KETI_SL_0000000102.MOV,112
552,KETI_SL_0000000101.MOV,100
553,KETI_SL_0000000100.MOV,99
554,KETI_SL_0000000099.MOV,98
555,KETI_SL_0000000098.MOV,97
556,KETI_SL_0000000097.MOV,96
557,KETI_SL_0000000096.MOV,95
558,KETI_SL_0000000095.MOV,94
559,KETI_SL_0000000094.MOV,93
560,KETI_SL_0000000093.MOV,92
561,KETI_SL_0000000092.MOV,91
562,KETI_SL_0000000091.MOV,90
563,KETI_SL_0000000090.MOV,89
564,KETI_SL_0000000089.MOV,88
565,KETI_SL_0000000088.MOV,87
566,KETI_SL_0000000087.MOV,86
567,KETI_SL_0000000086.MOV,85
568,KETI_SL_0000000085.MOV,84
569,KETI_SL_0000000084.MOV,83
570,KETI_SL_0000000083.MOV,82
571,KETI_SL_0000000082.MOV,81
572,KETI_SL_0000000081.MOV,80
573,KETI_SL_0000000080.MOV,79
574,KETI_SL_0000000079.MOV,78
575,KETI_SL_0000000078.MOV,77
576,KETI_SL_0000000077.MOV,76
577,KETI_SL_0000000076.MOV,75
578,KETI_SL_0000000075.MOV,74
579,KETI_SL_0000000074.MOV,73
580,KETI_SL_0000000073.MOV,72
581,KETI_SL_0000000072.MOV,71
582,KETI_SL_0000000071.MOV,70
583,KETI_SL_0000000070.MOV,69
584,KETI_SL_0000000069.MOV,68
585,KETI_SL_0000000068.MOV,67
586,KETI_SL_0000000067.MOV,66
587,KETI_SL_0000000066.MOV,65
588,KETI_SL_0000000065.MOV,64
589,KETI_SL_0000000064.MOV,63
590,KETI_SL_0000000063.MOV,62
591,KETI_SL_0000000062.MOV,61
592,KETI_SL_0000000061.MOV,60
593,KETI_SL_0000000060.MOV,59
594,KETI_SL_0000000059.MOV,58
595,KETI_SL_0000000058.MOV,57
596,KETI_SL_0000000057.MOV,56
597,KETI_SL_0000000056.MOV,55
598,KETI_SL_0000000055.MOV,54
599,KETI_SL_0000000054.MOV,53
600,KETI_SL_0000000053.MOV,52
601,KETI_SL_0000000052.MOV,51
602,KETI_SL_0000000051.MOV,50
603,KETI_SL_0000000050.MOV,49
604,KETI_SL_0000000049.MOV,48
605,KETI_SL_0000000048.MOV,47
606,KETI_SL_0000000047.MOV,46
607,KETI_SL_0000000046.MOV,45
608,KETI_SL_0000000045.MOV,44
609,KETI_SL_0000000044.MOV,43
610,KETI_SL_0000000043.MOV,42
611,KETI_SL_0000000042.MOV,41
612,KETI_SL_0000000041.MOV,40
613,KETI_SL_0000000040.MOV,39
614,KETI_SL_0000000039.MOV,38
615,KETI_SL_0000000038.MOV,37
616,KETI_SL_0000000037.MOV,36
617,KETI_SL_0000000036.MOV,35
618,KETI_SL_0000000035.MOV,34
619,KETI_SL_0000000034.MOV,33
620,KETI_SL_0000000033.MOV,32
621,KETI_SL_0000000032.MOV,31
622,KETI_SL_0000000031.MOV,30
623,KETI_SL_0000000030.MOV,29
624,KETI_SL_0000000029.MOV,28
625,KETI_SL_0000000028.MOV,27
626,KETI_SL_0000000027.MOV,26
627,KETI_SL_0000000026.MOV,25
628,KETI_SL_0000000025.MOV,24
629,KETI_SL_0000000024.MOV,23
630,KETI_SL_0000000023.MOV,22
631,KETI_SL_0000000022.MOV,21
632,KETI_SL_0000000021.MOV,20
633,KETI_SL_0000000020.MOV,19
634,KETI_SL_0000000019.MOV,18
635,KETI_SL_0000000018.MOV,17
636,KETI_SL_0000000017.MOV,16
637,KETI_SL_0000000016.MOV,15
638,KETI_SL_0000000015.MOV,14
639,KETI_SL_0000000014.MOV,13
640,KETI_SL_0000000013.MOV,12
641,KETI_SL_0000000012.MOV,11
642,KETI_SL_0000000011.MOV,10
643,KETI_SL_0000000010.MOV,9
644,KETI_SL_0000000009.MOV,8
645,KETI_SL_0000000008.MOV,7
646,KETI_SL_0000000007.MOV,6
647,KETI_SL_0000000006.MOV,5
648,KETI_SL_0000000005.MOV,4
649,KETI_SL_0000000004.MOV,3
650,KETI_SL_0000000003.MOV,2
651,KETI_SL_0000000002.MOV,1
652,KETI_SL_0000000001.MOV,0
